GAZP,60,20100817,100000,163.37000,163.85000,162.72000,162.95000,3518563
GAZP,60,20100817,110000,162.96000,164.40000,162.84000,163.97000,7193419
GAZP,60,20100817,120000,163.96000,164.24000,163.61000,163.74000,3922139
GAZP,60,20100817,130000,163.74000,163.94000,163.04000,163.58000,3487304
GAZP,60,20100817,140000,163.56000,164.06000,163.40000,163.88000,1777862
GAZP,60,20100817,150000,163.88000,163.90000,163.21000,163.41000,1833094
GAZP,60,20100817,160000,163.46000,164.23000,163.31000,163.87000,3222881
GAZP,60,20100817,170000,163.88000,164.70000,163.51000,164.22000,5324274
GAZP,60,20100817,180000,164.22000,164.44000,163.62000,164.20000,5597185
GAZP,60,20100818,100000,163.90000,164.00000,163.15000,163.32000,1816031
GAZP,60,20100818,110000,163.32000,163.60000,162.32000,162.70000,5406081
GAZP,60,20100818,120000,162.69000,163.24000,162.55000,163.00000,3039219
GAZP,60,20100818,130000,163.00000,163.24000,162.77000,163.08000,1811401
GAZP,60,20100818,140000,163.08000,163.10000,162.37000,162.52000,2204460
GAZP,60,20100818,150000,162.50000,163.15000,162.48000,163.04000,1612069
GAZP,60,20100818,160000,163.04000,163.98000,162.98000,163.77000,2922160
GAZP,60,20100818,170000,163.76000,163.87000,162.71000,163.15000,3995245
GAZP,60,20100818,180000,163.15000,163.27000,162.23000,162.40000,4625693
GAZP,60,20100819,100000,163.50000,165.00000,163.33000,164.89000,5080698
GAZP,60,20100819,110000,164.90000,165.18000,163.80000,164.14000,7558669
GAZP,60,20100819,120000,164.14000,164.33000,163.92000,164.15000,3317158
GAZP,60,20100819,130000,164.13000,164.27000,163.83000,163.87000,2134422
GAZP,60,20100819,140000,163.86000,164.31000,163.86000,164.05000,1472136
GAZP,60,20100819,150000,164.05000,164.11000,163.35000,163.57000,2046278
GAZP,60,20100819,160000,163.52000,164.17000,162.03000,162.37000,8361467
GAZP,60,20100819,170000,162.37000,162.57000,161.90000,162.26000,4184658
GAZP,60,20100819,180000,162.19000,162.19000,160.04000,160.10000,9276108
GAZP,60,20100820,100000,160.10000,160.97000,160.01000,160.65000,2602881
GAZP,60,20100820,110000,160.65000,161.17000,160.32000,160.62000,3701764
GAZP,60,20100820,120000,160.62000,160.65000,159.34000,159.46000,8398225
GAZP,60,20100820,130000,159.46000,159.78000,158.56000,158.73000,5216894
GAZP,60,20100820,140000,158.73000,158.75000,157.88000,158.15000,6276891
GAZP,60,20100820,150000,158.15000,158.72000,158.05000,158.60000,2871860
GAZP,60,20100820,160000,158.59000,158.70000,157.83000,158.48000,3808918
GAZP,60,20100820,170000,158.48000,158.84000,157.93000,158.28000,4522143
GAZP,60,20100820,180000,158.21000,158.95000,157.81000,158.73000,4771144
GAZP,60,20100823,100000,159.25000,159.59000,158.22000,158.28000,3031602
GAZP,60,20100823,110000,158.26000,158.69000,157.13000,157.81000,6220561
GAZP,60,20100823,120000,157.80000,158.98000,157.73000,158.78000,6091083
GAZP,60,20100823,130000,158.78000,158.79000,157.85000,158.29000,3041709
GAZP,60,20100823,140000,158.29000,158.76000,158.11000,158.76000,1725345
GAZP,60,20100823,150000,158.76000,158.97000,158.23000,158.62000,1511238
GAZP,60,20100823,160000,158.62000,159.05000,158.40000,158.50000,2133830
GAZP,60,20100823,170000,158.52000,159.90000,158.10000,159.62000,5602785
GAZP,60,20100823,180000,159.65000,159.89000,159.10000,159.11000,3509240
GAZP,60,20100824,100000,157.82000,157.90000,157.20000,157.70000,2512696
GAZP,60,20100824,110000,157.70000,158.37000,157.28000,157.90000,5769701
GAZP,60,20100824,120000,157.91000,158.00000,157.40000,157.80000,3754809
GAZP,60,20100824,130000,157.77000,157.84000,157.37000,157.67000,1986624
GAZP,60,20100824,140000,157.61000,158.10000,157.53000,157.62000,1673977
GAZP,60,20100824,150000,157.60000,157.90000,156.85000,156.85000,3863879
GAZP,60,20100824,160000,156.85000,156.99000,156.36000,156.56000,3229841
GAZP,60,20100824,170000,156.56000,156.79000,156.02000,156.15000,3520521
GAZP,60,20100824,180000,156.13000,156.93000,155.46000,156.60000,8453443
GAZP,60,20100825,100000,156.60000,157.00000,156.42000,156.90000,1673104
GAZP,60,20100825,110000,156.90000,158.33000,156.00000,157.70000,7980817
GAZP,60,20100825,120000,157.70000,158.10000,156.30000,156.56000,5161214
GAZP,60,20100825,130000,156.51000,157.10000,156.40000,156.61000,3461163
GAZP,60,20100825,140000,156.61000,156.80000,156.20000,156.43000,1652760
GAZP,60,20100825,150000,156.44000,156.50000,155.55000,156.17000,3085792
GAZP,60,20100825,160000,156.19000,156.22000,154.88000,155.46000,4671650
GAZP,60,20100825,170000,155.46000,155.77000,154.87000,154.95000,3851284
GAZP,60,20100825,180000,154.97000,155.80000,154.72000,155.61000,5263267
GAZP,60,20100826,100000,157.42000,157.59000,156.83000,157.38000,2715998
GAZP,60,20100826,110000,157.35000,158.18000,157.16000,157.64000,7567900
GAZP,60,20100826,120000,157.62000,158.38000,157.00000,157.37000,6663622
GAZP,60,20100826,130000,157.32000,157.80000,157.12000,157.23000,2257366
GAZP,60,20100826,140000,157.17000,157.55000,157.13000,157.37000,1063433
GAZP,60,20100826,150000,157.30000,157.67000,156.80000,156.98000,2486437
GAZP,60,20100826,160000,156.98000,158.19000,156.88000,157.85000,5436541
GAZP,60,20100826,170000,157.85000,158.25000,157.35000,157.65000,5274494
GAZP,60,20100826,180000,157.65000,158.87000,157.62000,158.70000,7243216
GAZP,60,20100827,100000,157.91000,158.09000,157.40000,157.54000,1988126
